id,ConceptA,ConceptB_Pre,prerequisite,Substituido
664,Information_retrieval,Distributed_computing,0,N
665,Computational_geometry,Object-oriented_programming,0,N
666,Computational_linguistics,Graphical_model,0,N
667,Microarchitecture,Computer_graphics,0,N
668,Distributed_object,Wireless_network,0,N
669,Information_security,Parallel_computing,0,N
670,Robotics,Mobile_application_development,0,N
671,Knowledge_management,Wireless_network,0,N
672,Parallel_computing,Information_management,0,N
673,Test_automation,Cryptography,0,N
674,Information_security,Mobile_application_development,0,N
675,Information_management,Software_metric,0,N
676,Computer_graphics,System_programming,0,N
677,Programming_language,Software_development,0,N
678,Data-intensive_computing,Theory_of_computation,0,N
